[ROE Anomaly] CANBK Year Mar 2015: Computed 9.02% vs Reported 17.9% | Category: Source discrepancy
[ROE Anomaly] CANBK Year Mar 2016: Computed -7.82% vs Reported 17.9% | Category: Source discrepancy
[ROE Anomaly] CANBK Year Mar 2017: Computed 4.07% vs Reported 17.9% | Category: Source discrepancy
[ROE Anomaly] CANBK Year Mar 2018: Computed -10.50% vs Reported 17.9% | Category: Source discrepancy
[ROE Anomaly] CANBK Year Mar 2019: Computed 1.85% vs Reported 17.9% | Category: Source discrepancy
[ROE Anomaly] CANBK Year Mar 2020: Computed -4.66% vs Reported 17.9% | Category: Source discrepancy
[ROE Anomaly] CANBK Year Mar 2021: Computed 4.74% vs Reported 17.9% | Category: Source discrepancy
[ROE Anomaly] CANBK Year Mar 2022: Computed 8.80% vs Reported 17.9% | Category: Source discrepancy
[ROE Anomaly] CHOLAFIN Year Mar 2020: Computed 12.85% vs Reported 20.2% | Category: Source discrepancy
[ROE Anomaly] CIPLA Year Mar 2015: Computed 11.38% vs Reported 16.8% | Category: Source discrepancy
[ROE Anomaly] CIPLA Year Mar 2017: Computed 8.25% vs Reported 16.8% | Category: Source discrepancy
[ROE Anomaly] CIPLA Year Mar 2018: Computed 9.96% vs Reported 16.8% | Category: Source discrepancy
[ROE Anomaly] CIPLA Year Mar 2019: Computed 9.94% vs Reported 16.8% | Category: Source discrepancy
[ROE Anomaly] CIPLA Year Mar 2020: Computed 9.52% vs Reported 16.8% | Category: Source discrepancy
[ROE Anomaly] COALINDIA Year Mar 2013: Computed 35.81% vs Reported 52.0% | Category: Source discrepancy
[ROE Anomaly] COALINDIA Year Mar 2014: Computed 35.64% vs Reported 52.0% | Category: Source discrepancy
[ROE Anomaly] COALINDIA Year Mar 2015: Computed 34.02% vs Reported 52.0% | Category: Source discrepancy
[ROE Anomaly] COALINDIA Year Mar 2016: Computed 40.96% vs Reported 52.0% | Category: Source discrepancy
[ROE Anomaly] COALINDIA Year Mar 2017: Computed 37.85% vs Reported 52.0% | Category: Source discrepancy
[ROE Anomaly] COALINDIA Year Mar 2018: Computed 34.88% vs Reported 52.0% | Category: Source discrepancy
[ROE Anomaly] COALINDIA Year Mar 2019: Computed 66.01% vs Reported 52.0% | Category: Source discrepancy
[ROE Anomaly] COALINDIA Year Mar 2021: Computed 34.78% vs Reported 52.0% | Category: Source discrepancy
[ROE Anomaly] COALINDIA Year Mar 2022: Computed 40.28% vs Reported 52.0% | Category: Source discrepancy
[ROE Anomaly] COALINDIA Year Mar 2024: Computed 45.17% vs Reported 52.0% | Category: Source discrepancy
[ROE Anomaly] DABUR Year Mar 2013: Computed 36.56% vs Reported 19.2% | Category: Source discrepancy
[ROE Anomaly] DABUR Year Mar 2014: Computed 34.49% vs Reported 19.2% | Category: Source discrepancy
[ROE Anomaly] DABUR Year Mar 2015: Computed 31.84% vs Reported 19.2% | Category: Source discrepancy
[ROE Anomaly] DABUR Year Mar 2016: Computed 30.06% vs Reported 19.2% | Category: Source discrepancy
[ROE Anomaly] DABUR Year Mar 2017: Computed 26.41% vs Reported 19.2% | Category: Source discrepancy
[ROE Anomaly] DABUR Year Mar 2019: Computed 25.67% vs Reported 19.2% | Category: Source discrepancy
[ROE Anomaly] DIVISLAB Year Mar 2013: Computed 24.07% vs Reported 12.2% | Category: Source discrepancy
[ROE Anomaly] DIVISLAB Year Mar 2014: Computed 26.08% vs Reported 12.2% | Category: Source discrepancy
[ROE Anomaly] DIVISLAB Year Mar 2015: Computed 24.37% vs Reported 12.2% | Category: Source discrepancy
[ROE Anomaly] DIVISLAB Year Mar 2016: Computed 26.23% vs Reported 12.2% | Category: Source discrepancy
[ROE Anomaly] DIVISLAB Year Mar 2017: Computed 19.79% vs Reported 12.2% | Category: Source discrepancy
[ROE Anomaly] DIVISLAB Year Mar 2019: Computed 19.45% vs Reported 12.2% | Category: Source discrepancy
[ROE Anomaly] DIVISLAB Year Mar 2020: Computed 18.84% vs Reported 12.2% | Category: Source discrepancy
[ROE Anomaly] DIVISLAB Year Mar 2021: Computed 21.34% vs Reported 12.2% | Category: Source discrepancy
[ROE Anomaly] DIVISLAB Year Mar 2022: Computed 25.24% vs Reported 12.2% | Category: Source discrepancy
[ROE Anomaly] DLF Year Mar 2015: Computed 1.85% vs Reported 6.95% | Category: Source discrepancy
[ROE Anomaly] DLF Year Mar 2016: Computed 1.27% vs Reported 6.95% | Category: Source discrepancy
[ROE Anomaly] DLF Year Mar 2018: Computed 12.68% vs Reported 6.95% | Category: Source discrepancy
[ROE Anomaly] DLF Year Mar 2020: Computed -1.71% vs Reported 6.95% | Category: Source discrepancy
[ROE Anomaly] DMART Year Mar 2016: Computed 21.04% vs Reported 14.5% | Category: Source discrepancy
[ROE Anomaly] DMART Year Mar 2021: Computed 9.02% vs Reported 14.5% | Category: Source discrepancy
[ROE Anomaly] DRREDDY Year Mar 2017: Computed 10.54% vs Reported 21.4% | Category: Source discrepancy
[ROE Anomaly] DRREDDY Year Mar 2018: Computed 7.53% vs Reported 21.4% | Category: Source discrepancy
[ROE Anomaly] DRREDDY Year Mar 2019: Computed 13.90% vs Reported 21.4% | Category: Source discrepancy
[ROE Anomaly] DRREDDY Year Mar 2020: Computed 12.99% vs Reported 21.4% | Category: Source discrepancy
[ROE Anomaly] DRREDDY Year Mar 2021: Computed 11.07% vs Reported 21.4% | Category: Source discrepancy
[ROE Anomaly] DRREDDY Year Mar 2022: Computed 11.36% vs Reported 21.4% | Category: Source discrepancy
[ROE Anomaly] EICHERMOT Year Mar 2016: Computed 36.63% vs Reported 24.2% | Category: Source discrepancy
[ROE Anomaly] EICHERMOT Year Mar 2017: Computed 31.19% vs Reported 24.2% | Category: Source discrepancy
[ROE Anomaly] EICHERMOT Year Mar 2020: Computed 18.30% vs Reported 24.2% | Category: Source discrepancy
[ROE Anomaly] EICHERMOT Year Mar 2021: Computed 11.78% vs Reported 24.2% | Category: Source discrepancy
[ROE Anomaly] EICHERMOT Year Mar 2022: Computed 13.30% vs Reported 24.2% | Category: Source discrepancy
[ROE Anomaly] GAIL Year Mar 2016: Computed 5.15% vs Reported 14.0% | Category: Source discrepancy
[ROE Anomaly] GAIL Year Mar 2017: Computed 8.58% vs Reported 14.0% | Category: Source discrepancy
[ROE Anomaly] GAIL Year Mar 2020: Computed 19.31% vs Reported 14.0% | Category: Source discrepancy
[ROE Anomaly] GAIL Year Mar 2022: Computed 19.19% vs Reported 14.0% | Category: Source discrepancy
[ROE Anomaly] GAIL Year Mar 2023: Computed 8.62% vs Reported 14.0% | Category: Source discrepancy
[ROE Anomaly] GODREJCP Year Mar 2013: Computed 25.51% vs Reported 6.77% | Category: Source discrepancy
